product_code,asset_url,asset_type_normalized,file_format_normalized,product_url,product_exists,asset_id
1800T-0,https://techcomm.kohler.com/techcomm/cad/1800tsde.dwg,cad drawing,DWG,https://www.kohler.co.in/p/abrazo-1-6m-freestanding-lithocast-bath-1800t?skuId=1800T-0,True,asset_000302
1800T-0,https://techcomm.kohler.com/techcomm/cad/1800T.dxf,cad drawing,DXF,https://www.kohler.co.in/p/abrazo-1-6m-freestanding-lithocast-bath-1800t?skuId=1800T-0,True,asset_000295
1800T-0,https://techcomm.kohler.com/techcomm/cad/1800T.dwg,cad drawing,DWG,https://www.kohler.co.in/p/abrazo-1-6m-freestanding-lithocast-bath-1800t?skuId=1800T-0,True,asset_000294
1800T-0,https://techcomm.kohler.com/techcomm/pdf/K-1800T_spec_IN_Kohler_en.pdf,spec sheet,PDF,https://www.kohler.co.in/p/abrazo-1-6m-freestanding-lithocast-bath-1800t?skuId=1800T-0,True,asset_002955
1800T-0,https://techcomm.kohler.com/techcomm/pdf/1800t.pdf,installation,PDF,https://www.kohler.co.in/p/abrazo-1-6m-freestanding-lithocast-bath-1800t?skuId=1800T-0,True,asset_002906
20249T-0,https://techcomm.kohler.com/techcomm/cad/20249T.obj,3d model,OBJ,https://www.kohler.co.in/p/karing-1-8m-oval-lithocast-bath-20249t?skuId=20249T-0,True,asset_000384
20249T-0,https://techcomm.kohler.com/techcomm/cad/20249T.skp,3d model,SKP,https://www.kohler.co.in/p/karing-1-8m-oval-lithocast-bath-20249t?skuId=20249T-0,True,asset_000385
20249T-0,https://techcomm.kohler.com/techcomm/cad/20249T.3ds,3d model,3DS,https://www.kohler.co.in/p/karing-1-8m-oval-lithocast-bath-20249t?skuId=20249T-0,True,asset_000381
20249T-0,https://techcomm.kohler.com/techcomm/cad/Bath-Freestanding-KOHLER-KARING-K-20249T.rfa,3d model,RFA,https://www.kohler.co.in/p/karing-1-8m-oval-lithocast-bath-20249t?skuId=20249T-0,True,asset_002487
20249T-0,https://techcomm.kohler.com/techcomm/cad/20249tpln.dxf,cad drawing,DXF,https://www.kohler.co.in/p/karing-1-8m-oval-lithocast-bath-20249t?skuId=20249T-0,True,asset_000389
20249T-0,https://techcomm.kohler.com/techcomm/cad/20249tpln.dwg,cad drawing,DWG,https://www.kohler.co.in/p/karing-1-8m-oval-lithocast-bath-20249t?skuId=20249T-0,True,asset_000388
20249T-0,https://techcomm.kohler.com/techcomm/cad/20249tfrt.dxf,cad drawing,DXF,https://www.kohler.co.in/p/karing-1-8m-oval-lithocast-bath-20249t?skuId=20249T-0,True,asset_000387
20249T-0,https://techcomm.kohler.com/techcomm/cad/20249tfrt.dwg,cad drawing,DWG,https://www.kohler.co.in/p/karing-1-8m-oval-lithocast-bath-20249t?skuId=20249T-0,True,asset_000386
20249T-0,https://techcomm.kohler.com/techcomm/cad/20249tsde.dxf,cad drawing,DXF,https://www.kohler.co.in/p/karing-1-8m-oval-lithocast-bath-20249t?skuId=20249T-0,True,asset_000391
20249T-0,https://techcomm.kohler.com/techcomm/cad/20249tsde.dwg,cad drawing,DWG,https://www.kohler.co.in/p/karing-1-8m-oval-lithocast-bath-20249t?skuId=20249T-0,True,asset_000390
20249T-0,https://techcomm.kohler.com/techcomm/cad/20249T.dxf,cad drawing,DXF,https://www.kohler.co.in/p/karing-1-8m-oval-lithocast-bath-20249t?skuId=20249T-0,True,asset_000383
20249T-0,https://techcomm.kohler.com/techcomm/cad/20249T.dwg,cad drawing,DWG,https://www.kohler.co.in/p/karing-1-8m-oval-lithocast-bath-20249t?skuId=20249T-0,True,asset_000382
20249T-0,https://techcomm.kohler.com/techcomm/pdf/K-20249T_spec_IN_Kohler_en.pdf,spec sheet,PDF,https://www.kohler.co.in/p/karing-1-8m-oval-lithocast-bath-20249t?skuId=20249T-0,True,asset_002965
26284IN-AF,https://techcomm.kohler.com/techcomm/cad/26284IN.obj,3d model,OBJ,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF,True,asset_000803
26284IN-AF,https://techcomm.kohler.com/techcomm/cad/26284IN.skp,3d model,SKP,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF,True,asset_000804
26284IN-AF,https://techcomm.kohler.com/techcomm/cad/26284IN.3ds,3d model,3DS,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF,True,asset_000800
26284IN-AF,https://techcomm.kohler.com/techcomm/cad/Shower-Handshower-KOHLER-K-26284IN.rfa,3d model,RFA,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF,True,asset_002599
26284IN-AF,https://techcomm.kohler.com/techcomm/cad/26284inpln.dxf,cad drawing,DXF,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF,True,asset_000813
26284IN-AF,https://techcomm.kohler.com/techcomm/cad/26284inpln.dwg,cad drawing,DWG,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF,True,asset_000812
26284IN-AF,https://techcomm.kohler.com/techcomm/cad/26284infrt.dxf,cad drawing,DXF,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF,True,asset_000811
26284IN-AF,https://techcomm.kohler.com/techcomm/cad/26284infrt.dwg,cad drawing,DWG,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF,True,asset_000810
26284IN-AF,https://techcomm.kohler.com/techcomm/cad/26284insde.dxf,cad drawing,DXF,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF,True,asset_000815
26284IN-AF,https://techcomm.kohler.com/techcomm/cad/26284insde.dwg,cad drawing,DWG,https://www.kohler.co.in/p/statement-oblong-three-function-handshower-9-5-lpm-26284in?skuId=26284IN-AF,True,asset_000814
