parent_product_code,sku,finish,finish_code,color,current_price,list_price,product_url
26296T-2MB,26296T-2MB,Vibrant Brushed Moderne Brass,,Vibrant Brushed Moderne Brass,,,https://www.kohler.co.in/p/statement-oblong-353-mm-two-function-rainhead-9-5-lpm-26296t?skuId=26296T-2MB
26297IN-CP,26297IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/statement-oblong-453-mm-two-function-rainhead-9-5-lpm-26297in?skuId=26297IN-CP
26297IN-CP,26297IN-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/statement-oblong-453-mm-two-function-rainhead-9-5-lpm-26297in?skuId=26297IN-CP
26297IN-CP,26297IN-BL,Vibrant Rose Gold,BL,Vibrant Rose Gold,,,https://www.kohler.co.in/p/statement-oblong-453-mm-two-function-rainhead-9-5-lpm-26297in?skuId=26297IN-CP
26297IN-CP,26297IN-BV,Vibrant Brushed Bronze,BV,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/statement-oblong-453-mm-two-function-rainhead-9-5-lpm-26297in?skuId=26297IN-CP
26297IN-CP,26297IN-RGD,Matte Black,RGD,Matte Black,,,https://www.kohler.co.in/p/statement-oblong-453-mm-two-function-rainhead-9-5-lpm-26297in?skuId=26297IN-CP
26297IN-CP,26297IN-BRD,Vibrant Brushed Rose Gold,BRD,Vibrant Brushed Rose Gold,,,https://www.kohler.co.in/p/statement-oblong-453-mm-two-function-rainhead-9-5-lpm-26297in?skuId=26297IN-CP
9301IN-CL-CP,9301IN-CL-AF,Polished Chrome,AF,Polished Chrome,,,https://www.kohler.co.in/p/modernlife-edge-square-381mm-single-function-rainhead-9301in-cl?skuId=9301IN-CL-CP
9301IN-CL-CP,9301IN-CL-CP,Vibrant French Gold,CP,Vibrant French Gold,,,https://www.kohler.co.in/p/modernlife-edge-square-381mm-single-function-rainhead-9301in-cl?skuId=9301IN-CL-CP
9301IN-CL-CP,9301IN-CL-BL,Matte Black,BL,Matte Black,,,https://www.kohler.co.in/p/modernlife-edge-square-381mm-single-function-rainhead-9301in-cl?skuId=9301IN-CL-CP
9302IN-CL-CP,9302IN-CL-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/modernlife-edge-square-330-mm-single-function-rainhead-9302in-cl?skuId=9302IN-CL-CP
73037IN-CL-CP,73037IN-CL-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/round-duet-edge-square-203-mm-single-function-rainhead-73037in-cl?skuId=73037IN-CL-CP
73039IN-CL-CP,73039IN-CL-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/rainduet-edge-round-254-mm-rainhead-9-4-lpm-73039in-cl?skuId=73039IN-CL-CP
73039IN-CL-CP,73039IN-CL-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/rainduet-edge-round-254-mm-rainhead-9-4-lpm-73039in-cl?skuId=73039IN-CL-CP
73039IN-CL-CP,73039IN-CL-BL,Vibrant Rose Gold,BL,Vibrant Rose Gold,,,https://www.kohler.co.in/p/rainduet-edge-round-254-mm-rainhead-9-4-lpm-73039in-cl?skuId=73039IN-CL-CP
73039IN-CL-CP,73039IN-CL-BV,Vibrant Brushed Bronze,BV,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/rainduet-edge-round-254-mm-rainhead-9-4-lpm-73039in-cl?skuId=73039IN-CL-CP
73039IN-CL-CP,73039IN-CL-RGD,Matte Black,RGD,Matte Black,,,https://www.kohler.co.in/p/rainduet-edge-round-254-mm-rainhead-9-4-lpm-73039in-cl?skuId=73039IN-CL-CP
76465IN-BL,76465IN-BL,Matte Black,BL,Matte Black,,,https://www.kohler.co.in/p/awaken-254mm-rainhead-76465in?skuId=76465IN-BL
77276IN-L-CP,77276IN-L-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/beitou-rectangle-600x800-multifunction-rainpanel-in-polished-chrome-77276in-l?skuId=77276IN-L-CP
77276IN-L-CP,77276IN-L-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/beitou-rectangle-600x800-multifunction-rainpanel-in-polished-chrome-77276in-l?skuId=77276IN-L-CP
77276IN-L-CP,77276IN-L-BL,Matte Black,BL,Matte Black,,,https://www.kohler.co.in/p/beitou-rectangle-600x800-multifunction-rainpanel-in-polished-chrome-77276in-l?skuId=77276IN-L-CP
